ticker,Name,TotRetYtd,TotRet1Y,StdDev6M
DODFX US Equity,DODGE & COX INTL STOCK FUND,17.795,23.01,9.955
DODWX US Equity,DODGE & COX GLOBAL STOCK FD,13.434,23.608,8.884
DODGX US Equity,DODGE & COX STOCK FUND,7.879,21.65,9.092
DCGBDUA ID Equity,DODGE&COX GLOBAL BOND-USD A,7.236,7.129,2.184
DODLX US Equity,DODGE & COX GLOBAL BOND FUND,7.067,6.818,2.177
DODBX US Equity,DODGE & COX BALANCED FUND,6.147,14.94,5.512
DCISAEA ID Equity,DODGE & COX INT STOCK-AEA,5.296,16.311,10.291
DODIX US Equity,DODGE & COX INCOME FUND,3.452,2.569,1.928
DOCGLAE ID Equity,DODGE COX-GLOBAL STOCK FD-AE,1.197,16.652,10.975
DCUSSEA ID Equity,DODGE & COX-US STOCK-EUR ACC,-4.527,14.132,12.242
